model_size,quant,tg_tokens,tg_tok_sec,avg_power_w,min_power_w,max_power_w,power_samples,tokens_per_watt,joules_per_token,sec_per_1k_tokens,wh_per_1k_tokens,kwh_per_1m_tokens,rm_per_1k_tokens,rm_per_1m_tokens,electricity_cost_myr_per_kwh,model_file,bench_seconds
3B,Q4_K_M,512,95.926552,36.615686,4.220000,39.740000,51,2.619821,0.381705,10.424642,0.106029,0.106029,0.000058,0.058316,0.55,qwen2.5-3b-instruct-q4_k_m.gguf,28
3B,Q5_K_M,512,82.472162,37.467705,12.300000,40.300000,61,2.201153,0.454307,12.125304,0.126196,0.126196,0.000069,0.069408,0.55,qwen2.5-3b-instruct-q5_k_m.gguf,33
3B,Q8_0,512,64.033306,32.664156,12.950000,34.730000,77,1.960354,0.510112,15.616873,0.141698,0.141698,0.000078,0.077934,0.55,qwen2.5-3b-instruct-q8_0.gguf,42
7B,Q4_K_M,512,44.326219,39.999725,14.060000,41.370000,109,1.108163,0.902394,22.560011,0.250665,0.250665,0.000138,0.137866,0.55,qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf,59
7B,Q5_K_M,512,37.405396,39.718016,14.770000,41.450000,126,0.941774,1.061826,26.734111,0.294952,0.294952,0.000162,0.162224,0.55,qwen2.5-7b-instruct-q5_k_m-00001-of-00002.gguf,70
7B,Q8_0,512,28.748829,33.431288,17.200000,37.780000,163,0.859938,1.162875,34.784025,0.323021,0.323021,0.000178,0.177662,0.55,qwen2.5-7b-instruct-q8_0-00001-of-00003.gguf,91
14B,Q4_K_M,512,22.805903,41.501490,15.980000,43.870000,208,0.549520,1.819770,43.848297,0.505492,0.505492,0.000278,0.278021,0.55,qwen2.5-14b-instruct-q4_k_m-00001-of-00003.gguf,114
14B,Q5_K_M,512,18.698917,47.119809,14.600000,49.770000,262,0.396838,2.519922,53.479033,0.699978,0.699978,0.000385,0.384988,0.55,qwen2.5-14b-instruct-q5_k_m-00001-of-00003.gguf,143
14B,Q8_0,512,14.214192,32.611449,15.110000,39.040000,345,0.435865,2.294288,70.352223,0.637302,0.637302,0.000351,0.350516,0.55,qwen2.5-14b-instruct-q8_0-00001-of-00004.gguf,190
32B,Q4_K_M,512,10.144873,44.272869,14.300000,46.730000,481,0.229144,4.364063,98.571958,1.212240,1.212240,0.000667,0.666732,0.55,qwen2.5-32b-instruct-q4_k_m-00001-of-00005.gguf,264
32B,Q5_K_M,512,8.498317,42.425654,14.900000,45.650000,596,0.200311,4.992242,117.670358,1.386734,1.386734,0.000763,0.762704,0.55,qwen2.5-32b-instruct-q5_k_m-00001-of-00006.gguf,327
32B,Q8_0,512,6.313507,42.760694,15.030000,44.260000,764,0.147647,6.772891,158.390574,1.881359,1.881359,0.001035,1.034747,0.55,qwen2.5-32b-instruct-q8_0-00001-of-00009.gguf,421
