run,device,num_chunks,batch_size,time_s,chunks_per_sec,gpu_temp_c,gpu_mem_used_mb,gpu_power_w
1,cuda,100,32,0.0459,2177.3,50,-1,18.9
2,cuda,100,32,0.0384,2607.4,50,-1,20.3
3,cuda,100,32,0.0625,1598.9,53,-1,21.9
1,cuda,100,64,0.0314,3180.5,53,-1,23.0
2,cuda,100,64,0.0298,3359.4,53,-1,24.2
3,cuda,100,64,0.0304,3293.0,53,-1,25.4
1,cuda,100,128,0.0354,2821.3,53,-1,27.0
2,cuda,100,128,0.0298,3352.4,53,-1,28.0
3,cuda,100,128,0.0294,3405.4,53,-1,29.7
1,cuda,100,256,0.029,3446.9,54,-1,30.7
2,cuda,100,256,0.0282,3550.7,54,-1,30.9
3,cuda,100,256,0.0276,3620.9,54,-1,30.2
1,cuda,500,32,0.2096,2386.0,54,-1,31.0
2,cuda,500,32,0.1729,2891.7,54,-1,34.1
3,cuda,500,32,0.1808,2765.3,54,-1,36.8
1,cuda,500,64,0.1483,3371.4,54,-1,39.8
2,cuda,500,64,0.1444,3461.7,54,-1,43.2
3,cuda,500,64,0.1505,3322.3,54,-1,43.6
1,cuda,500,128,0.1412,3541.7,54,-1,43.7
2,cuda,500,128,0.1414,3535.5,54,-1,44.2
3,cuda,500,128,0.2239,2232.8,54,-1,42.9
1,cuda,500,256,0.1483,3371.4,54,-1,43.8
2,cuda,500,256,0.147,3401.4,54,-1,44.3
3,cuda,500,256,0.1466,3409.8,54,-1,44.6
1,cuda,1000,32,0.3528,2834.8,54,-1,45.8
2,cuda,1000,32,0.3671,2723.8,59,-1,45.1
3,cuda,1000,32,0.3688,2711.7,59,-1,45.0
1,cuda,1000,64,0.2946,3394.0,59,-1,46.5
2,cuda,1000,64,0.2937,3405.0,61,-1,48.5
3,cuda,1000,64,0.2946,3394.0,61,-1,48.9
1,cuda,1000,128,0.2841,3520.4,61,-1,49.2
2,cuda,1000,128,0.2811,3557.9,62,-1,50.1
3,cuda,1000,128,0.2768,3612.2,62,-1,51.4
1,cuda,1000,256,0.2927,3416.1,62,-1,51.4
2,cuda,1000,256,0.2848,3510.6,63,-1,51.6
3,cuda,1000,256,0.2912,3434.2,63,-1,52.0
1,cuda,5000,32,1.7845,2801.9,61,-1,49.0
2,cuda,5000,32,1.8189,2748.9,61,-1,48.4
3,cuda,5000,32,1.7353,2881.4,63,-1,50.8
1,cuda,5000,64,1.4437,3463.3,63,-1,55.8
2,cuda,5000,64,1.4384,3476.1,62,-1,55.0
3,cuda,5000,64,1.4473,3454.7,64,-1,55.7
1,cuda,5000,128,1.3802,3622.6,65,-1,58.4
2,cuda,5000,128,1.3923,3591.2,66,-1,58.1
3,cuda,5000,128,1.3973,3578.4,64,-1,58.1
1,cuda,5000,256,1.4314,3493.1,66,-1,59.2
2,cuda,5000,256,1.4247,3509.5,67,-1,59.0
3,cuda,5000,256,1.436,3482.0,67,-1,58.7
1,cpu,100,32,1.6458,60.8,55,-1,12.8
2,cpu,100,32,1.469,68.1,55,-1,12.7
3,cpu,100,32,1.4335,69.8,55,-1,12.8
1,cpu,100,64,0.997,100.3,55,-1,12.7
2,cpu,100,64,1.0062,99.4,55,-1,12.7
3,cpu,100,64,1.139,87.8,55,-1,12.7
1,cpu,500,32,6.7995,73.5,55,-1,12.8
2,cpu,500,32,6.7954,73.6,55,-1,12.8
3,cpu,500,32,6.8727,72.8,55,-1,12.8
1,cpu,500,64,5.1547,97.0,55,-1,12.8
2,cpu,500,64,5.0605,98.8,56,-1,12.8
3,cpu,500,64,5.1218,97.6,56,-1,12.9
1,cpu,1000,32,13.6555,73.2,56,-1,12.9
2,cpu,1000,32,13.6834,73.1,56,-1,12.9
3,cpu,1000,32,13.5388,73.9,56,-1,12.9
1,cpu,1000,64,10.346,96.7,56,-1,12.9
2,cpu,1000,64,10.2286,97.8,56,-1,12.9
3,cpu,1000,64,10.2536,97.5,57,-1,13.0
