timestamp,model,target_ctx,run,prompt_tokens,gen_tokens,ttft_ms,prefill_tok_s,decode_tok_s,total_s,wall_s,gpu_mem_before_mib,gpu_mem_after_mib,gpu_mem_delta_mib
2026-05-08T16:53:17.513101Z,llama3.1:8b,1024,1,846,25,275.255374,3073.5094748776824,45.41296559095746,4.627440872,4.6292493529908825,-1,-1,-1
2026-05-08T16:53:18.458337Z,llama3.1:8b,1024,2,844,23,273.738334,3083.2364165699933,45.910797157554754,0.903690218,0.9060063679935411,-1,-1,-1
2026-05-08T16:53:19.417550Z,llama3.1:8b,1024,3,842,23,271.715597,3098.8283679571036,45.643169460496644,0.918597719,0.920241846004501,-1,-1,-1
2026-05-08T16:53:24.937802Z,llama3.1:8b,4096,1,3362,24,1141.459174,2945.3528225793557,43.528980016969776,5.479247995,5.481704417994479,-1,-1,-1
2026-05-08T16:53:26.747352Z,llama3.1:8b,4096,2,3363,21,1139.452195,2951.4182470814408,43.72246668748828,1.770503128,1.7739000570145436,-1,-1,-1
2026-05-08T16:53:28.534701Z,llama3.1:8b,4096,3,3367,21,1143.624155,2944.1490766693364,43.866174903450705,1.749652403,1.7520546980085783,-1,-1,-1
2026-05-08T16:53:39.201603Z,llama3.1:8b,16384,1,13414,26,5794.779004,2314.8423763426754,36.596385279312344,10.61933161,10.628373279003426,-1,-1,-1
2026-05-08T16:53:45.971427Z,llama3.1:8b,16384,2,13414,26,5856.8787520000005,2290.2983940754116,36.99457285347635,6.726919613,6.732926165976096,-1,-1,-1
2026-05-08T16:53:52.694332Z,llama3.1:8b,16384,3,13417,25,5858.330851,2290.24279120558,36.935475914589645,6.67560422,6.684751025983132,-1,-1,-1
2026-05-08T16:54:12.513529Z,llama3.1:8b,32768,1,26828,28,14432.149061,1858.9054122575071,30.46734193105038,19.773050926,19.783088316995418,-1,-1,-1
2026-05-08T16:54:28.283152Z,llama3.1:8b,32768,2,26827,28,14595.017543999998,1838.0930286054065,30.73729036727493,15.720995668,15.732019788003527,-1,-1,-1
2026-05-08T16:54:43.922597Z,llama3.1:8b,32768,3,26825,25,14588.917892,1838.7244481449716,30.81312986559272,15.592183721,15.602663450990804,-1,-1,-1
2026-05-08T16:55:30.386795Z,llama3.1:8b,65536,1,53645,24,40659.47271,1319.372742057382,22.876820147011557,46.406071501,46.42507894500159,-1,-1,-1
2026-05-08T16:56:12.635824Z,llama3.1:8b,65536,2,53647,25,40833.375080000005,1313.802738443633,22.830741356527437,42.174177067,42.207198021002114,-1,-1,-1
2026-05-08T16:56:55.128601Z,llama3.1:8b,65536,3,53644,25,40885.853865000005,1312.0430400481744,22.90131029801067,42.214605854,42.45384767500218,-1,-1,-1
2026-05-08T16:59:10.216082Z,llama3.1:8b,131072,1,107276,23,127786.287463,839.4953960225297,14.926228549609428,134.999871109,135.0377028369985,-1,-1,-1
2026-05-08T17:01:20.428253Z,llama3.1:8b,131072,2,107279,23,128235.47069599999,836.5782058407208,14.903664848769466,130.102941894,130.1680970399757,-1,-1,-1
2026-05-08T17:03:30.511181Z,llama3.1:8b,131072,3,107282,23,128156.644137,837.1161770225123,14.944503689510766,129.975501133,130.03840666398173,-1,-1,-1
