test,model,type,run,width,height,steps,frames,megapixels,time_s,gpu_temp_before,gpu_temp_after,gpu_power_w
z_turbo_512x512_4steps,z-image-turbo,image,1,512,512,4,1,0.26,6.87,65,72,85.3
z_turbo_512x512_4steps,z-image-turbo,image,2,512,512,4,1,0.26,7.02,72,69,77.8
z_turbo_512x512_4steps,z-image-turbo,image,3,512,512,4,1,0.26,6.9,69,77,86.0
z_turbo_768x768_4steps,z-image-turbo,image,1,768,768,4,1,0.59,14.04,77,71,67.3
z_turbo_768x768_4steps,z-image-turbo,image,2,768,768,4,1,0.59,14.01,71,78,70.7
z_turbo_768x768_4steps,z-image-turbo,image,3,768,768,4,1,0.59,14.06,78,78,67.7
z_turbo_1024x1024_4steps,z-image-turbo,image,1,1024,1024,4,1,1.05,24.36,78,71,59.1
z_turbo_1024x1024_4steps,z-image-turbo,image,2,1024,1024,4,1,1.05,24.33,71,68,60.4
z_turbo_1024x1024_4steps,z-image-turbo,image,3,1024,1024,4,1,1.05,24.29,68,81,58.6
z_turbo_1280x1280_4steps,z-image-turbo,image,1,1280,1280,4,1,1.64,38.31,81,71,46.3
z_turbo_1280x1280_4steps,z-image-turbo,image,2,1280,1280,4,1,1.64,38.24,71,67,47.4
z_turbo_1280x1280_4steps,z-image-turbo,image,3,1280,1280,4,1,1.64,38.27,67,74,46.9
z_turbo_1024x1024_8steps,z-image-turbo,image,1,1024,1024,8,1,1.05,47.76,74,70,58.8
z_turbo_1024x1024_8steps,z-image-turbo,image,2,1024,1024,8,1,1.05,47.79,70,82,59.4
z_turbo_1024x1024_8steps,z-image-turbo,image,3,1024,1024,8,1,1.05,47.75,82,76,57.6
wan22_480x480_17f,wan22-t2v-14b,video,1,480,480,4,17,3.92,183.08,57,53,21.7
wan22_480x480_17f,wan22-t2v-14b,video,2,480,480,4,17,3.92,12.17,53,60,32.9
wan22_640x640_33f,wan22-t2v-14b,video,1,640,640,4,33,13.52,59.7,56,59,13.5
wan22_640x640_33f,wan22-t2v-14b,video,2,640,640,4,33,13.52,58.91,59,62,14.3
