test,model,type,run,input_chars,input_duration_s,audio_duration_s,time_s,chars_per_sec,real_time_factor,speed_x,output_chars,gpu_temp_before,gpu_temp_after,gpu_power_w
tts_short,mms-tts-zlm,tts,1,25,,2.256,0.5364,46.6,0.2377,,,41,41,10.2
tts_short,mms-tts-zlm,tts,2,25,,2.352,0.1062,235.4,0.0452,,,41,42,10.9
tts_short,mms-tts-zlm,tts,3,25,,2.256,0.0217,1153.1,0.0096,,,42,42,11.6
tts_medium,mms-tts-zlm,tts,1,234,,16.096,0.2735,855.5,0.017,,,42,42,13.9
tts_medium,mms-tts-zlm,tts,2,234,,16.048,0.1381,1694.6,0.0086,,,42,42,17.9
tts_medium,mms-tts-zlm,tts,3,234,,15.744,0.1349,1735.1,0.0086,,,42,42,21.4
tts_long,mms-tts-zlm,tts,1,558,,38.416,0.316,1765.7,0.0082,,,42,42,26.9
tts_long,mms-tts-zlm,tts,2,558,,37.664,0.2777,2009.6,0.0074,,,42,42,31.0
tts_long,mms-tts-zlm,tts,3,558,,38.912,0.284,1965.1,0.0073,,,42,48,33.3
tts_very_long,mms-tts-zlm,tts,1,1199,,76.688,0.5964,2010.2,0.0078,,,48,48,35.1
tts_very_long,mms-tts-zlm,tts,2,1199,,78.064,0.5965,2010.2,0.0076,,,48,50,35.7
tts_very_long,mms-tts-zlm,tts,3,1199,,77.744,0.5909,2029.1,0.0076,,,50,52,35.9
stt_5s,whisper-large-v3,stt,1,,3.63,,8.3366,,2.2978,0.44,55,52,43,22.9
stt_5s,whisper-large-v3,stt,2,,3.63,,7.7994,,2.1497,0.47,55,43,43,10.5
stt_5s,whisper-large-v3,stt,3,,3.63,,7.2364,,1.9945,0.5,55,43,44,10.5
stt_15s,whisper-large-v3,stt,1,,10.88,,9.1337,,0.8392,1.19,186,44,44,12.3
stt_15s,whisper-large-v3,stt,2,,10.88,,10.4787,,0.9627,1.04,186,44,45,10.8
stt_15s,whisper-large-v3,stt,3,,10.88,,10.7527,,0.9879,1.01,186,45,45,10.8
stt_30s,whisper-large-v3,stt,1,,21.77,,15.9216,,0.7314,1.37,337,48,46,14.6
stt_30s,whisper-large-v3,stt,2,,21.77,,12.9731,,0.596,1.68,337,46,47,11.1
stt_30s,whisper-large-v3,stt,3,,21.77,,14.8928,,0.6841,1.46,337,47,47,11.2
stt_60s,whisper-large-v3,stt,1,,43.54,,27.4559,,0.6306,1.59,397,53,48,18.2
stt_60s,whisper-large-v3,stt,2,,43.54,,27.0923,,0.6223,1.61,397,48,48,11.3
stt_60s,whisper-large-v3,stt,3,,43.54,,25.6552,,0.5893,1.7,397,48,49,11.4
stt_120s,whisper-large-v3,stt,1,,87.07,,57.0334,,0.655,1.53,1122,54,50,25.1
stt_120s,whisper-large-v3,stt,2,,87.07,,58.9595,,0.6771,1.48,1122,50,51,11.7
stt_120s,whisper-large-v3,stt,3,,87.07,,55.8664,,0.6416,1.56,1122,51,51,11.8
stt_300s,whisper-large-v3,stt,1,,217.69,,337.014,,1.5482,0.65,3855,56,52,25.8
stt_300s,whisper-large-v3,stt,2,,217.69,,387.6861,,1.7809,0.56,3816,52,53,12.1
stt_300s,whisper-large-v3,stt,3,,217.69,,354.8343,,1.63,0.61,4106,53,53,12.2
